id,value
Basic Industries|Precious Metals|OR(1.853B),1.853B
Basic Industries|Precious Metals|ORLA(0.863B),0.863B
Basic Industries|Precious Metals|PAAS(6.734B),6.734B
Basic Industries|Precious Metals|PLG(0.361B),0.361B
Basic Industries|Precious Metals|PLM(0.437B),0.437B
Basic Industries|Precious Metals|PVG(1.927B),1.927B
Basic Industries|Precious Metals|PZG(0.043B),0.043B
Basic Industries|Precious Metals|RGLD(7.100B),7.100B
Basic Industries|Precious Metals|RIO(109.847B),109.847B
Basic Industries|Precious Metals|SA(1.348B),1.348B
Basic Industries|Precious Metals|SAND(1.250B),1.250B
Basic Industries|Precious Metals|SCCO(57.602B),57.602B
Basic Industries|Precious Metals|SILV(1.141B),1.141B
Basic Industries|Precious Metals|SMTS(0.448B),0.448B
Basic Industries|Precious Metals|SSRM(3.314B),3.314B
Basic Industries|Precious Metals|SVM(1.047B),1.047B
Basic Industries|Precious Metals|TGB(0.480B),0.480B
Basic Industries|Precious Metals|THM(0.242B),0.242B
Basic Industries|Precious Metals|TMQ(0.356B),0.356B
Basic Industries|Precious Metals|TRQ(3.010B),3.010B
Basic Industries|Precious Metals|TRX(0.197B),0.197B
Basic Industries|Precious Metals|UEC(0.430B),0.430B
Basic Industries|Precious Metals|URG(0.230B),0.230B
Basic Industries|Precious Metals|USAS(0.330B),0.330B
Basic Industries|Precious Metals|USAU(0.082B),0.082B
Basic Industries|Precious Metals|VALE(92.236B),92.236B
Basic Industries|Precious Metals|VEDL(9.956B),9.956B
Basic Industries|Precious Metals|VGZ(0.103B),0.103B
Basic Industries|Precious Metals|WPM(16.983B),16.983B
Basic Industries|Precious Metals|WRN(0.194B),0.194B
Basic Industries|Precious Metals|WWR(0.212B),0.212B
Basic Industries|Precious Metals|XPL(0.062B),0.062B
Basic Industries|Specialty Chemicals|CSL(7.958B),7.958B
Basic Industries|Specialty Chemicals|CTIB(0.013B),0.013B
Basic Industries|Specialty Chemicals|WST(21.937B),21.937B
Basic Industries|Steel/Iron Ore|ATI(2.335B),2.335B
Basic Industries|Steel/Iron Ore|CMC(2.742B),2.742B
Basic Industries|Steel/Iron Ore|CRS(1.772B),1.772B
Basic Industries|Steel/Iron Ore|HUDI(0.082B),0.082B
Basic Industries|Steel/Iron Ore|MT(24.280B),24.280B
Basic Industries|Steel/Iron Ore|MTCN(0.000B),0.000B
Basic Industries|Steel/Iron Ore|MTL(0.504B),0.504B
Basic Industries|Steel/Iron Ore|NUE(17.059B),17.059B
Basic Industries|Steel/Iron Ore|NWPX(0.316B),0.316B
Basic Industries|Steel/Iron Ore|OSN(0.032B),0.032B
Basic Industries|Steel/Iron Ore|PKX(19.047B),19.047B
Basic Industries|Steel/Iron Ore|SIM(2.278B),2.278B
